Episode,split,ood_score,n_ood_dims
0,near_ood,0.14082266666666665,1
1,near_ood,0.23193204285714264,4
2,near_ood,0.17154633333333347,2
3,iid_val,0.0,0
4,near_ood,0.18433506122449006,2
5,train,0.0,0
6,near_ood,0.23996985034013613,3
7,near_ood,0.09896671428571446,2
8,near_ood,0.18399416666666668,2
9,near_ood,0.017379499999999992,1
10,iid_val,0.0,0
11,near_ood,0.14044477551020396,2
12,near_ood,0.1442255714285713,1
13,near_ood,0.11667820000000004,1
14,near_ood,0.09760000680272107,2
15,near_ood,0.08500833333333335,1
16,near_ood,0.19642095238095236,2
17,near_ood,0.26248933333333313,2
18,near_ood,0.2159336088435373,3
19,near_ood,0.13951415986394566,3
20,near_ood,0.18621779591836735,2
21,train,0.0,0
22,near_ood,0.1713826217687074,3
23,near_ood,0.2746075510204081,2
24,near_ood,0.07358557142857136,1
25,near_ood,0.20276709523809522,2
26,near_ood,0.053852380952380985,2
27,near_ood,0.11698870000000003,2
28,near_ood,0.021726866666666733,2
29,near_ood,0.08636733333333335,1
30,near_ood,0.48751553809523795,4
31,near_ood,0.16478133333333322,1
32,near_ood,0.07610933333333336,1
33,near_ood,0.05755857142857146,1
34,near_ood,0.15385914285714286,1
35,train,0.0,0
36,train,0.0,0
37,near_ood,0.17830076190476185,2
38,near_ood,0.3036759115646258,4
39,near_ood,0.07369600000000004,1
40,near_ood,0.03294333333333338,1
41,near_ood,0.11390950000000002,1
42,train,0.0,0
43,near_ood,0.371953919047619,3
44,near_ood,0.006209387755101992,1
45,train,0.0,0
46,near_ood,0.0040640000000000676,1
47,iid_val,0.0,0
48,near_ood,0.14630375510204086,2
49,near_ood,0.21280349251700686,3
50,near_ood,0.15497299999999992,1
51,train,0.0,0
52,near_ood,0.20210596122448982,4
53,near_ood,0.09045529999999999,1
54,near_ood,0.02350448979591835,1
55,near_ood,0.19259535918367346,2
56,near_ood,0.19974316666666653,2
57,train,0.0,0
58,near_ood,0.21978373333333331,2
59,near_ood,0.026604503401360557,2
60,train,0.0,0
61,near_ood,0.32323250000000003,2
62,near_ood,0.1917941666666667,2
63,near_ood,0.3064846904761905,3
64,near_ood,0.24478699999999992,2
65,train,0.0,0
66,near_ood,0.3367422176870747,4
67,train,0.0,0
68,near_ood,0.0038410204081633648,1
69,near_ood,0.11851410000000001,1
